id,text,label,Comments
378,真她妈的什么服务态度，没有取件就说，发个信息骗人， us会员钱是白花的，妈的客服问半天没人理，要个投诉电话也没有，不行你**就别再骗消费者,客服态度差,
390,本人不建议购买，好像不兼容华为手机！想退这是在京东最糟心的一次购物！,功能鸡肋,
402,这个是京东购物以来最闹心的一次，产品质量非常糟糕，不值得买，屏幕很烂，很暗，跟照片有很大差距，也不是触屏，只有最下方可以触摸。如果可以给零分，这个妥妥的零分！！！而且售后服务很烂，态度也不好！,屏幕出问题,
414,真的太差了，真的。和小米4常规版差不多的价格，无论是功能上还是清晰度都差太远了，肉眼可见颗粒的分辨率，屏幕不能触控，要在特殊区域触碰才行，而且功能也一般，不建议入手。,屏幕出问题,
426,太差劲了，寄过来放在柜子里我去拿竟然就自动确认收货了，我他么都还没拆开看看，结果一打开表面脏污还有点模糊，说好的七天无理由退货，结果还不给退，客服态度还恶劣,产品垃圾#客服态度差,
438,电池太不耐用，差评,电池不耐用,
450,经常没有来电提醒,功能鸡肋,
462,打卡失败，#的，浪费了100多块钱,产品垃圾,
474,手环不怎么样,产品垃圾,
486,不好用还那么贵,产品垃圾,
120,第一次送过来，发现S1按键坏了，提出换货。京东客服立即启动高质量服务，换货+道歉。对于这样好的服务，我也不说什么了，就是耽误了我很多天的时间。,客服耐心,
144,是正品，功能有点鸡肋，就当电子表用吧。而且，刚收到的就这？直接掉漆，我服了好吧。,操作不便,
168,一般吧！,,
192,其他没什么，续航有点差，三天一充,电池不耐用,
204,不怎么样，电量根本坚持不了介绍上的那么久,电池不耐用,
228,用了没几天屏幕就失灵，有时能显示，有时不能显示,屏幕出问题,
252,乐心产品不稳定，乐心客服蛮狠正在漫长的等候，别的自己想吧,产品垃圾#客服态度差,
276,怀疑这手环就是电子表，白天睡觉没有记录，换了一次，一样没什么用，数据不准,数据不准,
300,垃圾，关了心率也不行，电池不耐用,电池不耐用,
324,京东自营的慢递真是名不虚传，一天的货硬生生送成三天了，还是我打电话催的结果，一星都嫌多,物流很慢,
348,东西一般，比以前的差很多，费电，误触碰，两天冲一次电，反正非常不满意,电池不耐用,
366,太次了，转半天手腕屏幕都不亮，夜间模式拍屏幕也没反应。还不如一个电子表，大家别上当了,屏幕出问题,
384,很差，我没设置闹铃，自己就响了，而且一天很多次，响，怀疑是二手货，联系客服半天没动静，我也是醉了，不如以前买的,功能鸡肋#没有客服,
408,充满电过几分钟就掉到百分之九十一的电量，续航力不足，还有就是京东**的预售，一是预售不能使***，二是预后也可以以优惠价购买商品而且还能使***，反倒是预售先交定金的不能使！还先交着钱！三预售的定金还不能退！所以参加京东的预售没什么意义，反而对消费者买商品是个束缚,电池不耐用,
498,操作难易 太垃圾了，弄了一早上都连接不上蓝牙，以前也买过他们家产品，这明显就是有问题的，真的是太垃圾了。,蓝牙不稳定,
510,说实话 买了过后才看到 乐心健康a 里面 同样的手环卖149 京东卖169 啥都不说了 以后告别京东了  简直是坑 物流倒是快,买完降价,
666,用一个多星期才来评价，测心率一点多准，其它的功能估计也是程序在估算,数据不准,
672,东西  准确性 一点都不准，时间总是在调试中，血压检测一点不准，差差差差差差,数据不准,
702,朋友们自己看下这对比吧  误差多么大 想下手的可要小心了别在上当受骗了 我严重怀疑他家销量都是涮出来的 说退货还不给退 手环给邮寄回来的时候上面的二维码还不管用问过才知道说版本过低 手机还链接不了 这不是垃圾产品吗,蓝牙不稳定,
708,全是骗人的，不要相信，根本无法链接手机，安卓系统手机受限，这款应用根本不被承认，大家别再花冤枉钱了,蓝牙不稳定,
714,数据完全不准确，质量太差，售后不给解决，并且态度太差，买了无数次东西，从来没遇到这么差的，也许我的只是个例，不代表所有，但我只说出我的情况及我的评价。,数据不准#客服态度差,
726,准确性 极差,数据不准,
732,戴了一段时间，送了一个给朋友，结果朋友血压180啦！表上显示还正常，真@呀！差差评，骗人的,数据不准#血压不准,
738,血压测量不准，不能跟专业的血压测量仪比，刚买来测量125/85，戴几天一天比一天高，后面138/96，吓死我了，不过客服服务很好，很有耐心这点我很满意。听客服教我恢复出厂设置后再测量115/75。不过第二天测量又125/82了，所以我选择不相信这个数据了，相信这数据会把自己真的吓出高血压，就当电子手表带吧，睡眠监测不想说了,数据不准,
744,还可以，但是血压不准。,数据不准,
750,这个非常适合给老人使用，而且这个手环在不连接手机情况下也可以测心率血压，建议大家购买，而且这个东西在不连接手机情况下时间也很准。非常适合给家里的老人用。,功能强大,
756,准确度不是很好，性能一般,数据不准,
762,比较有特色的是血压测量，但是不准确，其他乏善可陈。,数据不准,
768,都住院了，心电图还是正常。在家在医院量血压都是120左右，手环量不是110就是140甚至160，想要我的命吗？,数据不准,
774,主要是为了测血压，但是似乎不太准啊，误差很大。  自己慢慢摸索中,数据不准,
780,灵敏度 差  做工质量 太差了不如华为100多的  纯属于老年款，功能少，准确率低，手链硬，戴着一点不舒服，款式厚重，买的那叫一个后悔。,产品垃圾#佩戴不舒适#做工很差,
786,1.需要一直开启定位，这个很不好没有华为的好用。  2.图形界面也不好，没有达到预期专业水准。  3.步数肯定不准的，也不知道怎么以前的一万步现在的日均万步怎么来的。  4.充电需要重复拔插手环的表带，应该多配送一条否则估计超过不了一年就坏了。,产品垃圾,
792,不太准,数据不准,
798,特意用了几天来评价 1、触摸屏不是很灵活。2、戴手上不很稳定，可能不太贴合手腕，导致测量血压常出错，本来就为了量血压才买。3、佩戴时容易刺激手腕皮肤，痒，起了好几个疙瘩。4、睡眠质量监测也不准，深睡和浅睡不符。5、震动的次数不懂，显示时间太短。6、每项的监测数据对应症状也没有，有时对数据束手无策。总体感觉不值这价格～,佩戴不舒适#数据不准#系统卡顿,
804,东西不行，步数跟手机差很远，久坐失灵，睡眠没数据，一个字，差、,产品垃圾,
810,质量不咋样跟.旧的一样,做工很差,
816,待机时间很短,电池不耐用,
984,手坏简约大方，佩戴很方便，  准确性 屏幕清晰，手环时间准确度很好。  还有放水的功能，待机时间长充一次电够用好几天，带着很舒服.实用，运动手环的首选，店家服务好,屏幕清晰#续航不错,
996,小巧玲珑，非常方便，性价比超高，功能强大，操作简单灵敏，带有音乐播放功能，测量心率，血氧饱和度，统计步数。待机时间超长。好东西,功能强大,
1002,很好用，价格便宜，看时间、定闹钟、监控睡眠时间、计步数，完全可以满足我的日常需求，易操作，外观也很好看。,性价比高,
1008,趁优惠买可以半价，非常划算。早就想买个手环了，可以测运动状态，血氧心率，睡眠质量等。表盘也很炫酷。操作简单，和华为手机配合完美,性价比高,
1014,买到之后就带上试了一下，用了几天非常满意，接打电话都非常方便，有信息提醒，在吵的场合都能听得到。再也不用担心电话接不着了。短信提醒也非常便捷，开会的时候也可以看。,功能强大,
1020,不用多说 喜欢赶紧入手 价格相当给力了 真的是太赞了 功能也挺齐全的 用起来也很方便 真的是不错的选择 超级推荐 赞赞赞 太棒了,物美价廉,
1026,东西小巧好用。不错。准确性很高，灵敏度也比较高。操作起来很容易。做工比较好，质量不错。很方便。京东买东西，放心，物流很快。,数据准确#操作方便,
1032,正品，买的放心，价钱也公道，满意！是正品，而且价格不贵，用着也很大气，一直在用，很好??非常值得信赖的品牌，质量有保障，价格还亲民，相当满意宝贝收到咯??，真的很棒呀！?质量真是没话说，非常满意！?开心开心?特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！,外观耐看#价格便宜,
1038,这款手环也好好用啊，屏幕都好可爱，平时听歌太方便了，上面设置的内容特别清晰易懂，我特别喜欢带手环，所以经常买来换着用，款式都不错,外观耐看,
1044,颜值挺高的，嫩嫩的颜色，挺适合小女生佩戴的，特别喜欢?  待机时间也是挺长的，挺灵敏的。  推荐给大家，有喜欢的赶紧入手吧。,外观耐看#续航不错,
